dispatch_queue_seconds,on_scene_seconds,turnout_seconds,travel_seconds,total_elapsed_seconds,shift_label,agency,priority
168.60560255428584,2688.0574299165887,84.78025535431222,335.1780091622684,3353.9050242253015,Day,LAW,P1
32.458061508361475,2599.8090705568084,102.82662410641643,298.1808095848513,3001.282528319306,Evening,EMS,P2
20.141688802674313,2473.3828933756477,116.27606042793823,139.09302613775674,2671.2268919345797,Night,FIRE,P3
56.31552882588609,1790.5150946329147,108.05759895916023,110.20001008690878,2087.8894065689224,Day,LAW,P4
123.65257716536156,2425.7000965925454,111.45047462485564,244.87859941766413,2913.8454258352926,Evening,EMS,P1
103.66399823470309,1405.0126957918678,92.47963495886373,267.46760036731524,1862.2351830520076,Night,FIRE,P2
120.42138497520467,1840.8427928281528,51.974494790766116,199.03437728727906,2250.826899388919,Day,LAW,P3
123.2201078521741,2153.769418545563,88.51128154743535,283.4758926431075,2611.339335489823,Evening,EMS,P4
165.4564148706455,2761.2734067060474,95.11189459115622,196.93849570108625,3172.5019280775246,Night,FIRE,P1
28.31156136070303,2751.5707106072223,60.231682328303904,74.38795835890133,2950.130356816027,Day,LAW,P2
177.46288897215936,1401.2817713987324,109.88718548628725,67.89391856634154,1773.2825536600983,Evening,EMS,P3
161.77592887447722,2323.5330129965414,108.29209622153193,330.7511893517489,2932.745978307987,Night,FIRE,P4
91.56761943380776,1655.6775184380565,33.17775427134786,148.67071452566051,2005.2867679090855,Day,LAW,P1
48.18083066475102,2693.9294516076516,70.45089274706132,319.23858396488066,3202.0051787041507,Evening,EMS,P2
44.59285775381075,1844.3889671720658,83.69824508648827,76.46216643243733,2098.6972290469544,Night,FIRE,P3
100.42133298781263,1220.6162803686009,38.54681413902244,243.81747590748094,1613.6650093455771,Day,LAW,P4
153.17263675685342,1617.7164960342457,117.44753584638053,124.55143140791063,1963.7699355470347,Evening,EMS,P1
72.83877288197772,1835.8313126097974,91.3382702255897,179.46022627115318,2211.159466511809,Night,FIRE,P2
48.854980080774034,2172.722153974795,78.1374228328144,306.0061299817149,2595.979594618059,Day,LAW,P3
31.262282589126848,1241.8150927685142,106.94388834660995,300.7216491414372,1682.7628818077042,Evening,EMS,P4
